rank	pair_id	chrom	lcr_up_start	lcr_up_end	lcr_down_start	lcr_down_end	interior_start	interior_end	interior_len_bp	avg_lcr_len_bp	identity	propensity_X	n_interior_genes	n_disease_genes	n_HI3_genes	hi_disease_genes	omim_examples
341	NAHR_01498_chr17_36M	chr17	36426473	36441333	38126153	38141006	36441333	38126153	1684820	14856	0.9881	4.122	40	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
342	NAHR_01535_chr17_36M	chr17	36426473	36441333	38126153	38141006	36441333	38126153	1684820	14856	0.9881	4.122	40	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
343	NAHR_01471_chr17_36M	chr17	36163541	36178367	38002253	38017046	36178367	38002253	1823886	14809	0.9867	4.115	46	8	1	HNF1B	
344	NAHR_01528_chr17_36M	chr17	36163541	36178367	38002253	38017046	36178367	38002253	1823886	14809	0.9867	4.115	46	8	1	HNF1B	
345	NAHR_01472_chr17_36M	chr17	36163541	36178402	38126153	38141006	36178402	38126153	1947751	14857	0.9860	4.113	48	8	1	HNF1B	
346	NAHR_01536_chr17_36M	chr17	36163541	36178402	38126153	38141006	36178402	38126153	1947751	14857	0.9860	4.113	48	8	1	HNF1B	
347	NAHR_01156_chr16_29M	chr16	29052437	29060056	30215831	30223433	29060056	30215831	1155775	7610	0.9820	3.812	74	11	1	PRRT2	
348	NAHR_01173_chr16_29M	chr16	29052437	29060056	30215831	30223433	29060056	30215831	1155775	7610	0.9820	3.812	74	11	1	PRRT2	
349	NAHR_02078_chr22_23M	chr22	23306925	23321261	24643433	24656599	23321261	24643433	1322172	13751	0.9671	4.002	58	9	1	SMARCB1	
350	NAHR_02101_chr22_23M	chr22	23306925	23321261	24643433	24656599	23321261	24643433	1322172	13751	0.9671	4.002	58	9	1	SMARCB1	
351	NAHR_00905_chr15_82M	chr15	82427679	82471869	84400000	84440131	82471869	84400000	1928131	42160	0.9870	4.565	43	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
352	NAHR_00940_chr15_82M	chr15	82427679	82471869	84400000	84440131	82471869	84400000	1928131	42160	0.9870	4.565	43	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
353	NAHR_02185_chr5_34M	chr5	34183591	34189055	37480521	37487479	34189055	37480521	3291466	6211	0.9626	3.651	36	12	1	NIPBL	
354	NAHR_02186_chr5_34M	chr5	34183591	34189055	37480521	37487479	34189055	37480521	3291466	6211	0.9626	3.651	36	12	1	NIPBL	
355	NAHR_01744_chr2_108M	chr2	108493300	108530426	112347166	112384628	108530426	112347166	3816740	37294	0.9766	4.465	65	24	0		RANBP2=HP:0002181:Cerebral edema
356	NAHR_01782_chr2_108M	chr2	108493300	108530426	112347166	112384628	108530426	112347166	3816740	37294	0.9766	4.465	65	24	0		RANBP2=HP:0002181:Cerebral edema
357	NAHR_00503_chr10_42M	chr10	42694273	42741193	45102576	45149011	42741193	45102576	2361383	46677	0.9547	4.458	48	4	1	RET	BMS1=HP:0010301:Spinal dysraphism
358	NAHR_00504_chr10_42M	chr10	42694273	42741193	45102576	45149011	42741193	45102576	2361383	46677	0.9547	4.458	48	4	1	RET	BMS1=HP:0010301:Spinal dysraphism
359	NAHR_01755_chr2_108M	chr2	108719415	108771738	112384625	112433644	108771738	112384625	3612887	50671	0.9762	4.593	63	23	0		RANBP2=HP:0002181:Cerebral edema;EDAR=HP:0000232:Everted lower lip vermilion
360	NAHR_01786_chr2_108M	chr2	108719415	108771738	112384625	112433644	108771738	112384625	3612887	50671	0.9762	4.593	63	23	0		RANBP2=HP:0002181:Cerebral edema;EDAR=HP:0000232:Everted lower lip vermilion
361	NAHR_01975_chr22_18M	chr22	18709564	18715724	21151091	21157272	18715724	21151091	2435367	6170	0.9948	3.771	105	30	0		
362	NAHR_02033_chr22_18M	chr22	18709564	18715724	21151091	21157272	18715724	21151091	2435367	6170	0.9948	3.771	105	30	0		
363	NAHR_01973_chr22_18M	chr22	18653707	18659561	21151091	21156967	18659561	21151091	2491530	5865	0.9942	3.746	105	30	0		
364	NAHR_02034_chr22_18M	chr22	18653707	18659561	21151091	21156967	18659561	21151091	2491530	5865	0.9942	3.746	105	30	0		
365	NAHR_01979_chr22_18M	chr22	18725024	18730621	21161157	21166598	18730621	21161157	2430536	5519	0.9934	3.717	105	30	0		
366	NAHR_02038_chr22_18M	chr22	18725024	18730621	21161157	21166598	18730621	21161157	2430536	5519	0.9934	3.717	105	30	0		
367	NAHR_02000_chr22_19M	chr22	19023255	19035499	21355339	21367597	19035499	21355339	2319840	12251	0.9790	4.002	100	27	0		DGCR2=HP:0000718:Aggressive behavior
368	NAHR_02060_chr22_19M	chr22	19023255	19035499	21355339	21367597	19035499	21355339	2319840	12251	0.9790	4.002	100	27	0		DGCR2=HP:0000718:Aggressive behavior
369	NAHR_02502_chr8_7M	chr8	7608983	7617127	12601845	12609996	7617127	12601845	4984718	8147	0.9948	3.891	123	8	1	GATA4	
370	NAHR_02551_chr8_7M	chr8	7608983	7617127	12601845	12609996	7617127	12601845	4984718	8147	0.9948	3.891	123	8	1	GATA4	
371	NAHR_01545_chr17_45M	chr17	45495835	45516128	46547567	46565076	45516128	46547567	1031439	18901	0.9823	4.201	24	5	1	KANSL1	
372	NAHR_01561_chr17_45M	chr17	45495835	45516128	46547567	46565076	45516128	46547567	1031439	18901	0.9823	4.201	24	5	1	KANSL1	
373	NAHR_01546_chr17_45M	chr17	45495835	45516128	46329705	46347141	45516128	46329705	813577	18864	0.9817	4.197	22	5	1	KANSL1	
374	NAHR_01557_chr17_45M	chr17	45495835	45516128	46329705	46347141	45516128	46329705	813577	18864	0.9817	4.197	22	5	1	KANSL1	
375	NAHR_02088_chr22_23M	chr22	23594547	23601125	25428803	25435365	23601125	25428803	1827678	6570	0.9618	3.672	65	10	1	SMARCB1	
376	NAHR_02111_chr22_23M	chr22	23594547	23601125	25428803	25435365	23601125	25428803	1827678	6570	0.9618	3.672	65	10	1	SMARCB1	
377	NAHR_00896_chr15_82M	chr15	82337154	82360481	84224740	84248188	82360481	84224740	1864259	23387	0.9862	4.309	46	4	1	RPS17	
378	NAHR_00927_chr15_82M	chr15	82337154	82360481	84224740	84248188	82360481	84224740	1864259	23387	0.9862	4.309	46	4	1	RPS17	
379	NAHR_01502_chr17_36M	chr17	36449216	36458166	38006526	38015407	36458166	38006526	1548360	8915	0.9759	3.855	39	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
380	NAHR_01529_chr17_36M	chr17	36449216	36458166	38006526	38015407	36458166	38006526	1548360	8915	0.9759	3.855	39	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
381	NAHR_01504_chr17_36M	chr17	36449216	36458166	38057193	38066100	36458166	38057193	1599027	8928	0.9754	3.854	39	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
382	NAHR_01506_chr17_36M	chr17	36449216	36458166	37977655	37986554	36458166	37977655	1519489	8924	0.9755	3.854	37	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
383	NAHR_01523_chr17_36M	chr17	36449216	36458166	37977655	37986554	36458166	37977655	1519489	8924	0.9755	3.854	37	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
384	NAHR_01533_chr17_36M	chr17	36449216	36458166	38057193	38066100	36458166	38057193	1599027	8928	0.9754	3.854	39	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
385	NAHR_01503_chr17_36M	chr17	36449216	36458166	38181159	38190063	36458166	38181159	1722993	8927	0.9753	3.853	41	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
386	NAHR_01507_chr17_36M	chr17	36449216	36458166	37926965	37935870	36458166	37926965	1468799	8927	0.9753	3.853	37	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
387	NAHR_01519_chr17_36M	chr17	36449216	36458166	37926965	37935870	36458166	37926965	1468799	8927	0.9753	3.853	37	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
388	NAHR_01540_chr17_36M	chr17	36449216	36458166	38181159	38190063	36458166	38181159	1722993	8927	0.9753	3.853	41	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
389	NAHR_01505_chr17_36M	chr17	36449216	36458166	38130461	38139367	36458166	38130461	1672295	8928	0.9750	3.852	41	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
390	NAHR_01537_chr17_36M	chr17	36449216	36458166	38130461	38139367	36458166	38130461	1672295	8928	0.9750	3.852	41	8	1	HNF1B	ZNHIT3=HP:0000377:Abnormal pinna morphology;PIGW=HP:0040195:Decreased head circumference
391	NAHR_00894_chr15_82M	chr15	82336697	82360481	84425097	84448843	82360481	84425097	2064616	23765	0.9830	4.301	49	4	1	RPS17	
392	NAHR_00945_chr15_82M	chr15	82336697	82360481	84425097	84448843	82360481	84425097	2064616	23765	0.9830	4.301	49	4	1	RPS17	
393	NAHR_01087_chr16_18M	chr16	18856342	18907694	22443958	22493665	18907694	22443958	3536264	50529	0.9708	4.566	94	22	0		
394	NAHR_01114_chr16_18M	chr16	18856342	18907694	22443958	22493665	18907694	22443958	3536264	50529	0.9708	4.566	94	22	0		
395	NAHR_00897_chr15_82M	chr15	82337154	82360481	84339308	84362256	82360481	84339308	1978827	23137	0.9840	4.294	47	4	1	RPS17	
396	NAHR_00934_chr15_82M	chr15	82337154	82360481	84339308	84362256	82360481	84339308	1978827	23137	0.9840	4.294	47	4	1	RPS17	
397	NAHR_00915_chr15_82M	chr15	82508551	82533007	84424935	84448843	82533007	84424935	1891928	24182	0.9766	4.281	41	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
398	NAHR_00943_chr15_82M	chr15	82508551	82533007	84424935	84448843	82533007	84424935	1891928	24182	0.9766	4.281	41	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
399	NAHR_00916_chr15_82M	chr15	82508551	82532373	84224740	84248188	82532373	84224740	1692367	23635	0.9777	4.276	38	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
400	NAHR_00926_chr15_82M	chr15	82508551	82532373	84224740	84248188	82532373	84224740	1692367	23635	0.9777	4.276	38	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
401	NAHR_00917_chr15_82M	chr15	82508551	82532373	84339308	84362256	82532373	84339308	1806935	23385	0.9773	4.270	39	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
402	NAHR_00933_chr15_82M	chr15	82508551	82532373	84339308	84362256	82532373	84339308	1806935	23385	0.9773	4.270	39	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
403	NAHR_00912_chr15_82M	chr15	82478122	82497540	84320066	84339292	82497540	84320066	1822526	19322	0.9949	4.264	41	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
404	NAHR_00931_chr15_82M	chr15	82478122	82497540	84320066	84339292	82497540	84320066	1822526	19322	0.9949	4.264	41	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
405	NAHR_01073_chr16_18M	chr16	18358126	18374518	22517474	22534142	18374518	22517474	4142956	16530	0.9774	4.123	113	25	0		
406	NAHR_01117_chr16_18M	chr16	18358126	18374518	22517474	22534142	18374518	22517474	4142956	16530	0.9774	4.123	113	25	0		
407	NAHR_01456_chr17_31M	chr17	31036959	31051210	32020963	32033071	31051210	32020963	969753	13179	0.9727	4.007	26	6	1	NF1	NF1=HP:0001095:Hypertensive retinopathy
408	NAHR_01459_chr17_31M	chr17	31036959	31051210	32020963	32033071	31051210	32020963	969753	13179	0.9727	4.007	26	6	1	NF1	NF1=HP:0001095:Hypertensive retinopathy
409	NAHR_01063_chr16_18M	chr16	18317973	18334399	22517472	22534142	18334399	22517472	4183073	16548	0.9764	4.119	117	25	0		
410	NAHR_01116_chr16_18M	chr16	18317973	18334399	22517472	22534142	18334399	22517472	4183073	16548	0.9764	4.119	117	25	0		
411	NAHR_00906_chr15_82M	chr15	82427679	82455234	84233448	84256549	82455234	84233448	1778214	25328	0.9550	4.205	41	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
412	NAHR_00928_chr15_82M	chr15	82427679	82455234	84233448	84256549	82455234	84233448	1778214	25328	0.9550	4.205	41	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
413	NAHR_00907_chr15_82M	chr15	82427679	82455234	84348019	84370602	82455234	84348019	1892785	25069	0.9539	4.196	42	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
414	NAHR_00936_chr15_82M	chr15	82427679	82455234	84348019	84370602	82455234	84348019	1892785	25069	0.9539	4.196	42	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
415	NAHR_02087_chr22_23M	chr22	23337211	23348142	24286747	24300687	23348142	24286747	938605	12435	0.9634	3.945	46	6	1	SMARCB1	
416	NAHR_02097_chr22_23M	chr22	23337211	23348142	24286747	24300687	23348142	24286747	938605	12435	0.9634	3.945	46	6	1	SMARCB1	
417	NAHR_02506_chr8_7M	chr8	7713703	7721450	12412084	12419814	7721450	12412084	4690634	7738	0.9565	3.720	118	8	1	GATA4	
418	NAHR_02546_chr8_7M	chr8	7713703	7721450	12412084	12419814	7721450	12412084	4690634	7738	0.9565	3.720	118	8	1	GATA4	
419	NAHR_02492_chr8_7M	chr8	7262787	7270509	12169765	12177494	7270509	12169765	4899256	7725	0.9563	3.718	137	8	1	GATA4	
420	NAHR_02535_chr8_7M	chr8	7262787	7270509	12169765	12177494	7270509	12169765	4899256	7725	0.9563	3.718	137	8	1	GATA4	
421	NAHR_02711_chr9_83M	chr9	83808960	83822003	85801137	85815463	83822003	85801137	1979134	13684	0.9757	4.036	20	5	1	HNRNPK	
422	NAHR_02715_chr9_83M	chr9	83808960	83822003	85801137	85815463	83822003	85801137	1979134	13684	0.9757	4.036	20	5	1	HNRNPK	
423	NAHR_02507_chr8_7M	chr8	7713704	7721450	12169765	12177494	7721450	12169765	4448315	7737	0.9559	3.717	115	8	1	GATA4	
424	NAHR_02532_chr8_7M	chr8	7713704	7721450	12169765	12177494	7721450	12169765	4448315	7737	0.9559	3.717	115	8	1	GATA4	
425	NAHR_02500_chr8_7M	chr8	7568997	7576751	12412084	12419817	7576751	12412084	4835333	7743	0.9555	3.716	120	8	1	GATA4	
426	NAHR_02547_chr8_7M	chr8	7568997	7576751	12412084	12419817	7576751	12412084	4835333	7743	0.9555	3.716	120	8	1	GATA4	
427	NAHR_02508_chr8_7M	chr8	7728994	7736746	12412084	12419817	7736746	12412084	4675338	7742	0.9554	3.715	116	8	1	GATA4	
428	NAHR_02509_chr8_7M	chr8	7728998	7736746	12169765	12177494	7736746	12169765	4433019	7738	0.9552	3.715	113	8	1	GATA4	
429	NAHR_02511_chr8_7M	chr8	7751937	7759689	12412084	12419817	7759689	12412084	4652395	7742	0.9553	3.715	113	8	1	GATA4	
430	NAHR_02531_chr8_7M	chr8	7728998	7736746	12169765	12177494	7736746	12169765	4433019	7738	0.9552	3.715	113	8	1	GATA4	
431	NAHR_02544_chr8_7M	chr8	7751937	7759689	12412084	12419817	7759689	12412084	4652395	7742	0.9553	3.715	113	8	1	GATA4	
432	NAHR_02545_chr8_7M	chr8	7728994	7736746	12412084	12419817	7736746	12412084	4675338	7742	0.9554	3.715	116	8	1	GATA4	
433	NAHR_02512_chr8_7M	chr8	7751941	7759689	12169765	12177494	7759689	12169765	4410076	7738	0.9551	3.714	110	8	1	GATA4	
434	NAHR_02530_chr8_7M	chr8	7751941	7759689	12169765	12177494	7759689	12169765	4410076	7738	0.9551	3.714	110	8	1	GATA4	
435	NAHR_02519_chr8_8M	chr8	8024636	8032387	12412084	12419817	8032387	12412084	4379697	7742	0.9549	3.713	95	8	1	GATA4	
436	NAHR_02543_chr8_8M	chr8	8024636	8032387	12412084	12419817	8032387	12412084	4379697	7742	0.9549	3.713	95	8	1	GATA4	
437	NAHR_01565_chr17_59M	chr17	59572880	59600000	59975506	60002602	59600000	59975506	375506	27108	0.9946	4.409	12	2	1	CLTC	CLTC=HP:0006879:Pontocerebellar atrophy;PTRH2=HP:0001251:Ataxia
438	NAHR_01566_chr17_59M	chr17	59572880	59600000	59975506	60002602	59600000	59975506	375506	27108	0.9946	4.409	12	2	1	CLTC	CLTC=HP:0006879:Pontocerebellar atrophy;PTRH2=HP:0001251:Ataxia
439	NAHR_02497_chr8_7M	chr8	7553701	7561455	12412084	12419817	7561455	12412084	4850629	7743	0.9546	3.712	121	8	1	GATA4	
440	NAHR_02501_chr8_7M	chr8	7568997	7576747	12169765	12177494	7576747	12169765	4593018	7739	0.9546	3.712	117	8	1	GATA4	
441	NAHR_02533_chr8_7M	chr8	7568997	7576747	12169765	12177494	7576747	12169765	4593018	7739	0.9546	3.712	117	8	1	GATA4	
442	NAHR_02548_chr8_7M	chr8	7553701	7561455	12412084	12419817	7561455	12412084	4850629	7743	0.9546	3.712	121	8	1	GATA4	
443	NAHR_02498_chr8_7M	chr8	7553701	7561451	12169765	12177494	7561451	12169765	4608314	7739	0.9539	3.710	118	8	1	GATA4	
444	NAHR_02534_chr8_7M	chr8	7553701	7561451	12169765	12177494	7561451	12169765	4608314	7739	0.9539	3.710	118	8	1	GATA4	
445	NAHR_01452_chr17_30M	chr17	30616128	30621881	32041618	32047369	30621881	32041618	1419737	5752	0.9845	3.701	48	8	1	NF1	
446	NAHR_01462_chr17_30M	chr17	30616128	30621881	32041618	32047369	30621881	32041618	1419737	5752	0.9845	3.701	48	8	1	NF1	
447	NAHR_02085_chr22_23M	chr22	23322143	23337128	24268948	24283958	23337128	24268948	931820	14997	0.9598	4.008	44	5	1	SMARCB1	
448	NAHR_02095_chr22_23M	chr22	23322143	23337128	24268948	24283958	23337128	24268948	931820	14997	0.9598	4.008	44	5	1	SMARCB1	
449	NAHR_01457_chr17_31M	chr17	31037699	31046852	32087286	32096508	31046852	32087286	1040434	9187	0.9782	3.877	28	6	1	NF1	NF1=HP:0001095:Hypertensive retinopathy
450	NAHR_01464_chr17_31M	chr17	31037699	31046852	32087286	32096508	31046852	32087286	1040434	9187	0.9782	3.877	28	6	1	NF1	NF1=HP:0001095:Hypertensive retinopathy
451	NAHR_00899_chr15_82M	chr15	82371407	82389355	84448855	84467949	82389355	84448855	2059500	18521	0.9614	4.103	48	4	1	RPS17	
452	NAHR_00900_chr15_82M	chr15	82371407	82389355	84320202	84339296	82389355	84320202	1930847	18521	0.9614	4.103	46	4	1	RPS17	
453	NAHR_00932_chr15_82M	chr15	82371407	82389355	84320202	84339296	82389355	84320202	1930847	18521	0.9614	4.103	46	4	1	RPS17	
454	NAHR_00946_chr15_82M	chr15	82371407	82389355	84448855	84467949	82389355	84448855	2059500	18521	0.9614	4.103	48	4	1	RPS17	
455	NAHR_00901_chr15_82M	chr15	82371407	82389355	84205651	84224728	82389355	84205651	1816296	18512	0.9607	4.100	45	4	1	RPS17	
456	NAHR_00925_chr15_82M	chr15	82371407	82389355	84205651	84224728	82389355	84205651	1816296	18512	0.9607	4.100	45	4	1	RPS17	
457	NAHR_00892_chr15_82M	chr15	82336694	82351763	84503844	84519181	82351763	84503844	2152081	15203	0.9685	4.050	50	4	1	RPS17	
458	NAHR_00951_chr15_82M	chr15	82336694	82351763	84503844	84519181	82351763	84503844	2152081	15203	0.9685	4.050	50	4	1	RPS17	
459	NAHR_00903_chr15_82M	chr15	82426235	82443857	84383590	84398144	82443857	84383590	1939733	16088	0.9531	4.009	43	4	1	RPS17	
460	NAHR_00938_chr15_82M	chr15	82426235	82443857	84383590	84398144	82443857	84383590	1939733	16088	0.9531	4.009	43	4	1	RPS17	
461	NAHR_00918_chr15_82M	chr15	82517265	82533007	84503685	84519181	82533007	84503685	1970678	15619	0.9549	4.004	42	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
462	NAHR_00950_chr15_82M	chr15	82517265	82533007	84503685	84519181	82533007	84503685	1970678	15619	0.9549	4.004	42	4	1	RPS17	RPS17=HP:0002817:Abnormality of the upper limb
463	NAHR_02083_chr22_23M	chr22	23310738	23321261	24254167	24264717	23321261	24254167	932906	10536	0.9598	3.861	45	5	1	SMARCB1	
464	NAHR_02094_chr22_23M	chr22	23310738	23321261	24254167	24264717	23321261	24254167	932906	10536	0.9598	3.861	45	5	1	SMARCB1	
465	NAHR_00890_chr15_82M	chr15	82276682	82290536	84045982	84059511	82290536	84045982	1755446	13691	0.9538	3.945	44	4	1	RPS17	
466	NAHR_00920_chr15_82M	chr15	82276682	82290536	84045982	84059511	82290536	84045982	1755446	13691	0.9538	3.945	44	4	1	RPS17	
467	NAHR_02564_chr9_33M	chr9	33601831	33610917	38534839	38544032	33610917	38534839	4923922	9139	0.9592	3.799	133	25	0		
468	NAHR_02565_chr9_33M	chr9	33601831	33610917	38534839	38544032	33610917	38534839	4923922	9139	0.9592	3.799	133	25	0		
469	NAHR_00180_chr1_144M	chr1	144435041	144531516	149077138	149170440	144531516	149077138	4545622	94888	0.9863	4.909	90	17	0		
470	NAHR_00442_chr1_144M	chr1	144435041	144531516	149077138	149170440	144531516	149077138	4545622	94888	0.9863	4.909	90	17	0		
471	NAHR_01550_chr17_45M	chr17	45585704	45592740	46253803	46260783	45592740	46253803	661063	7008	0.9837	3.783	14	5	1	KANSL1	
472	NAHR_01553_chr17_45M	chr17	45585704	45592740	46253803	46260783	45592740	46253803	661063	7008	0.9837	3.783	14	5	1	KANSL1	
473	NAHR_01759_chr2_109M	chr2	109793924	109871001	112355093	112434000	109871001	112355093	2484092	77992	0.9955	4.870	50	17	0		
474	NAHR_01784_chr2_109M	chr2	109793924	109871001	112355093	112434000	109871001	112355093	2484092	77992	0.9955	4.870	50	17	0		
475	NAHR_00216_chr1_145M	chr1	145326540	145405872	149475332	149554616	145405872	149475332	4069460	79308	0.9863	4.832	86	17	0		
476	NAHR_00456_chr1_145M	chr1	145326540	145405872	149475332	149554616	145405872	149475332	4069460	79308	0.9863	4.832	86	17	0		
477	NAHR_00200_chr1_145M	chr1	145187963	145262593	149563352	149635246	145262593	149563352	4300759	73262	0.9913	4.823	88	17	0		
478	NAHR_00478_chr1_145M	chr1	145187963	145262593	149563352	149635246	145262593	149563352	4300759	73262	0.9913	4.823	88	17	0		
479	NAHR_02845_chrX_154M	chrX	154335935	154347246	154384867	154396222	154347246	154384867	37621	11333	0.9939	4.030	3	2	1	FLNA	FLNA=HP:0007359:Focal-onset seizure;EMD=HP:0003458:EMG: myopathic abnormalities
480	NAHR_02846_chrX_154M	chrX	154335935	154347246	154384867	154396222	154347246	154384867	37621	11333	0.9939	4.030	3	2	1	FLNA	FLNA=HP:0007359:Focal-onset seizure;EMD=HP:0003458:EMG: myopathic abnormalities
481	NAHR_01936_chr22_18M	chr22	18185960	18218744	20324592	20354812	18218744	20324592	2105848	31502	0.9842	4.427	81	19	0		
482	NAHR_02007_chr22_18M	chr22	18185960	18218744	20324592	20354812	18218744	20324592	2105848	31502	0.9842	4.427	81	19	0		
483	NAHR_00187_chr1_144M	chr1	144565900	144608921	149556814	149599999	144608921	149556814	4947893	43103	0.9894	4.585	95	18	0		
484	NAHR_00476_chr1_144M	chr1	144565900	144608921	149556814	149599999	144608921	149556814	4947893	43103	0.9894	4.585	95	18	0		
485	NAHR_00198_chr1_145M	chr1	145129135	145188250	149681543	149740424	145188250	149681543	4493293	58998	0.9938	4.741	94	17	0		
486	NAHR_00482_chr1_145M	chr1	145129135	145188250	149681543	149740424	145188250	149681543	4493293	58998	0.9938	4.741	94	17	0		
487	NAHR_02733_chrX_6M	chrX	6528714	6537770	8165153	8173759	6537770	8165153	1627383	8831	0.9502	3.749	7	4	1	STS	STS=HP:0007549:Desquamation of skin soon after birth
488	NAHR_02734_chrX_6M	chrX	6528714	6537770	8165153	8173759	6537770	8165153	1627383	8831	0.9502	3.749	7	4	1	STS	STS=HP:0007549:Desquamation of skin soon after birth
489	NAHR_00201_chr1_145M	chr1	145196481	145336686	148440436	148577847	145336686	148440436	3103750	138808	0.9901	5.092	69	15	0		
490	NAHR_00384_chr1_145M	chr1	145196481	145336686	148440436	148577847	145336686	148440436	3103750	138808	0.9901	5.092	69	15	0		
491	NAHR_01954_chr22_18M	chr22	18405885	18433513	20324592	20349525	18433513	20324592	1891079	26280	0.9874	4.364	78	19	0		
492	NAHR_02006_chr22_18M	chr22	18405885	18433513	20324592	20349525	18433513	20324592	1891079	26280	0.9874	4.364	78	19	0		
493	NAHR_01967_chr22_18M	chr22	18526313	18546275	20700323	20720037	18546275	20700323	2154048	19838	0.9791	4.208	85	20	0		
494	NAHR_02021_chr22_18M	chr22	18526313	18546275	20700323	20720037	18546275	20700323	2154048	19838	0.9791	4.208	85	20	0		
495	NAHR_00159_chr1_144M	chr1	144356497	144428470	148466045	148538515	144428470	148466045	4037575	72221	0.9827	4.774	81	16	0		
496	NAHR_00387_chr1_144M	chr1	144356497	144428470	148466045	148538515	144428470	148466045	4037575	72221	0.9827	4.774	81	16	0		
497	NAHR_01093_chr16_18M	chr16	18984978	18993050	22493370	22501359	18993050	22493370	3500320	8030	0.9622	3.757	93	23	0		COQ7=HP:0003391:Gowers sign
498	NAHR_01115_chr16_18M	chr16	18984978	18993050	22493370	22501359	18993050	22493370	3500320	8030	0.9622	3.757	93	23	0		COQ7=HP:0003391:Gowers sign
499	NAHR_00800_chr15_28M	chr15	28698367	28730436	32576700	32607507	28730436	32576700	3846264	31438	0.9794	4.405	62	18	0		
500	NAHR_00857_chr15_28M	chr15	28698367	28730436	32576700	32607507	28730436	32576700	3846264	31438	0.9794	4.405	62	18	0		
501	NAHR_01929_chr22_18M	chr22	18159723	18174837	20362648	20377695	18174837	20362648	2187811	15080	0.9806	4.097	87	20	0		USP18=HP:0000883:Thin ribs
502	NAHR_02011_chr22_18M	chr22	18159723	18174837	20362648	20377695	18174837	20362648	2187811	15080	0.9806	4.097	87	20	0		USP18=HP:0000883:Thin ribs
503	NAHR_01996_chr22_18M	chr22	18872851	18893299	20337728	20355153	18893299	20337728	1444429	18936	0.9731	4.162	66	19	0		DGCR6=HP:0000718:Aggressive behavior;PRODH=HP:0001251:Ataxia
504	NAHR_02009_chr22_18M	chr22	18872851	18893299	20337728	20355153	18893299	20337728	1444429	18936	0.9731	4.162	66	19	0		DGCR6=HP:0000718:Aggressive behavior;PRODH=HP:0001251:Ataxia
505	NAHR_01947_chr22_18M	chr22	18370377	18387721	20337680	20354675	18387721	20337680	1949959	17169	0.9806	4.153	79	19	0		
506	NAHR_02008_chr22_18M	chr22	18370377	18387721	20337680	20354675	18387721	20337680	1949959	17169	0.9806	4.153	79	19	0		
507	NAHR_02881_chrY_22M	chrY	21924887	22093095	25967291	26135950	22093095	25967291	3874196	168433	0.9982	5.217	33	13	0		PRY2=HP:0011462:Young adult onset
508	NAHR_02926_chrY_22M	chrY	21924887	22093095	25967291	26135950	22093095	25967291	3874196	168433	0.9982	5.217	33	13	0		PRY2=HP:0011462:Young adult onset
509	NAHR_01090_chr16_18M	chr16	18919064	18926692	22436878	22444640	18926692	22436878	3510186	7695	0.9637	3.745	92	22	0		COQ7=HP:0003391:Gowers sign
